Title,Keywords,Abstract
Design and Realization of a Framework for Human-System Interaction in Smart Homes,Human centric; human-computer interaction; multiagent systems; smart homes; user-centered design,"The current smart home is a ubiquitous computing environment consisting of multiple autonomous spaces, and its advantage is that a service interacting with home users can be set with different configurations in space, hardware, software, and quality. As well as being smart technologically speaking, a smart home should also never forget to retain the home nature when it is serving its users. In this paper, we first analyze the relationship among services, spaces, and users, and then we propose a framework as well as a corresponding algorithm to model their interaction relationship. Later, we also realize the human-system interaction framework to implement a smart home system and develop pervasive applications to demonstrate how to utilize our framework to fulfill the human-centric interaction requirement of a smart home. Finally, our preliminary evaluations show that our proposed work can enhance the performance of the human-system interaction in a smart home environment."
Impact of Wireless Communications Technologies on Elder People Healthcare: Smart Home in Australia,e-health; telemedicine; telehealth; smart home; wireless communications,"Over the last three decades, there has been a dramatic rise in ageing populations in most countries. Older people are remaining in nursing home care due to the fact that general services and medical support are provided. However, these costly environments often negatively affect older people due to high cost, limited staff and the social impacts they have. A way to overcome these challenges is to place the elderly instead in a smart home environment. The aim of this study is to describe the impact of wireless communications technologies on elderly people in a smart home. This has been compared with conditions in nursing homes. Using smart wireless sensors, wireless communications and ambient intelligent system, it is possible to create systems capable of measuring vital signs of the person in their own home. The findings indicate that wireless technology is the most suitable basis for a communications framework in a smart home to assist older people."
Off the Shelf Cloud Robotics for the Smart Home: Empowering a Wireless Robot through Cloud Computing,smart home; service robots; cloud computing,"In this paper, we explore the possibilities offered by the integration of home automation systems and service robots. In particular, we examine how advanced computationally expensive services can be provided by using a cloud computing approach to overcome the limitations of the hardware available at the user's home. To this end, we integrate two wireless low-cost, off-the-shelf systems in this work, namely, the service robot Rovio and the home automation system Z-wave. Cloud computing is used to enhance the capabilities of these systems so that advanced sensing and interaction services based on image processing and voice recognition can be offered."
Can Smart Home Technologies Help Older Adults Manage Their Chronic Condition? A Systematic Literature Review,older people; smart home; home automation; domotic; gerontechnology; ambient assisted living; ambient intelligence,"The management of chronic diseases requires personalized healthcare that allows older adults to manage their diseases at home. This systematic review aimed to describe the smart home technologies used in the management of chronic diseases in older people. A systematic literature review was conducted on four databases and was reported following the PRISMA statement. Nineteen articles were included. The intervention technologies were classified into three groups: smart home, characterized by environmental sensors detecting motion, contact, light, temperature, and humidity; external memory aids, characterized by a partnership between mobile apps and smart home-based activity learning; and hybrid technology, with the integration of multiple technologies, such as devices installed at patients' homes and telemedicine. The health outcomes evaluated are vital signs, medication management, ADL-IADL, mobility, falls, and quality of life. Smart homes show great potential in the management of chronic diseases by favouring the control of exacerbations and increasing patients' safety by providing support in disease management, including support for cognitively impaired older people. The use of smart homes in the community could bring numerous benefits in terms of continuity of care, allowing the constant monitoring of older people by local and hospital health services."
Indoor Positioning System for Smart Homes Based on Decision Trees and Passive RFID,RFID; Indoor positioning; Smart home; Decision tree; Random forest,"This paper presents a novel Indoor Positioning System (IPS) for objects of daily life equipped with passive RFID tags. The goal is to provide a simple to use, yet accurate, qualitative IPS for housing enhanced with technology (sensors, effectors, etc.). With such a service, the housing, namely called smart home, could enable a wide range of services by being able to better understand the context and the current progression of activities of daily living. The paper shows that classical data mining techniques can be applied to raw data from RFID readers and passive tags. In particular, it explains how we built several datasets using a tagged object in a real smart home infrastructure. Our method was proven very effective as most algorithms result in high accuracy for the majority of the smart home."
Flexible customer willingness to pay for bundled smart home energy products and services,Discrete choice; Seminonparametrics; Willingness to pay; Logit-mixed logit; Smart energy packages; New energy markets,"Energy markets are rapidly changing with smarter, connected, more reliable infrastructure and cleaner generation on the supply side, and more choice, greater control and enhanced flexibility for customers. This paper examines willingness to pay for bundled smart home energy products and information services, using data from a set of two discrete choice experiments that were part of a survey by the regional energy provider of upstate New York. To let the data reveal how preferences are distributed in the population, a logit-mixed logit model in willingness-to-pay space and a combination of observed and unobserved preference heterogeneity was specified and fitted. Results show that residents of Tompkins County are willing to pay more than in other counties for residential storage, and that for home energy management there is an important generational divide with millennials being much more likely to perceive the economic value in the smart energy technologies. The flexible logit-mixed logit estimates provide evidence of important heterogeneity in preferences: whereas most of the population has a positive albeit rather low valuation of smart energy products and services, there is a considerable percentage of customers with negative perceptions. (C) 2020 Elsevier B.V. All rights reserved."
ComfOnt: A Semantic Framework for Indoor Comfort and Energy Saving In Smart Homes,Smart Home; indoor comfort; ontology based application; ontology development,"This work introduces ComfOnt, a semantic framework developed within the context of ambient assisted living, context awareness, and ambient intelligence Italian research projects. ComfOnt leverages knowledge regarding Smart Home inhabitants and their particular needs, the devices deployed inside the domestic environment (appliances, sensors, and actuators), the amount of their energy consumption, and indoor comfort metrics to provide dwellers with customized services. Developed reusing widely adopted ontologies, ComfOnt aims at providing inhabitants with the possibility of having personalized indoor comfort in their living environments and at helping them in scheduling their daily activities requiring appliances; in fact, the proposed semantic framework enables the representation of appliances' energy consumption and the energy profile of the Smart Home, thus assisting the dwellers in avoiding power cuts and fostering energy savings. ComfOnt serves as a knowledge base for a prototypical application (DECAM) dedicated to Smart Home inhabitants; the architecture and the functionalities of DECAM are here presented."
Privacy-Preserving Data Analytics in Cloud-Based Smart Home with Community Hierarchy,Smart Home; Community Hierarchy; Privacy-Preserving; Data Analytics,"The emergence of the Internet of Things (IoT) has led to increasing data volumes, which are expected to grow exponentially. The IoT has great potential to positively change society but also presents challenges regarding privacy. In practice, Smart community public housing projects involving tens of thousands of households have recently been implemented. This study proposed a privacy-preserving smart home system, which connects a single home controller with data-hiding capabilities through community networking and integrates the data to a hierarchical architecture on a cloud platform for a data analytical access control mechanism. In addition, this paper outlines a variety of smart home data applications through data collected from a smart community environment with the developed privacy protection mechanism. The monitoring and protecting mechanism combines privacy-enhancing technologies with a privacy-preserving strategy from the initial system-designing stage through to full data lifecycle management. The types of smart home data that can be obtained from a community hierarchy, such as identification values, sensitive data, and non-sensitive data, were collected and classified. Through a combination of empirical application and sophisticated exploration of theoretical knowledge, this paper substantially contributes to the home automation field. The proposed system architecture is expected to enable both easy understanding for users and compliance for analytical service providers regarding the operation, procedure, limitation, and benefits of smart home data analysis, thereby providing a solution that ensures both privacy and data availability."
Towards to responsive Web Services for Smart Home LED control with Raspberry Pi. A first approach,Smart Home; Internet of Things; Raspberry Pi; LED technology,"Today, the constant evolution of the technology has enabled people to access information which were not possible before. The concept of Internet of Things (IoT) is a new step of processing information technology, which allows people to understand about their environment and how they can control the variables that affect their lives. One of these variables is to handle events that occur within houses. Our proposal in this paper is describe an university project whose purpose is the first approximation of a system using Web technology Raspberry Pi to control different LED devices, allowing inclusion of modules and be a real alternative in the implementation of a Smart Home. As a result of our proposal, we have offered an alternative to Smart Home environment to a big set of people allowing the control home applications that use LED technology. In addition, we conducted a test with students to obtain new guidelines that were not considered at first instance and, through the testing with people, we observed non-functional characteristics that were relevant in our work."
SAGA: Secure Auto-configurable Gateway Architecture for Smart Home,Auto-configuration; Gateway; Smart Home; Internet of Things; mDNS; DNS-SD,"Advances in the Internet of Things (IoT) have changed Smart Home technology from a local control system to one where many devices with high computational ability are network-enabled. These devices exhibit known and unknown attack surfaces by attackers either compromising the Smart Home itself or exploiting these devices to launch DDoS attacks. However, average home users often lack the technical skills to properly protect their networks and devices from those attacks. And manufacturers tend to design their systems for ease of use rather than ensuring security. Even for skilled home users, secure manual configuration and connection are time-consuming and error-prone. Therefore, it is important to develop a technique which is both simple to manage and secure against cyber-attacks. We present a secure auto-configurable gateway architecture (SAGA) that allows IoT devices to be automatically discovered, registered and configured when they connect to a Smart Home network. SAGA can (1) automatically register IoT devices securely, (2) reject malicious attempts by rogue devices to connect to the network, (3) identify attempts to capture devices by a rogue gateway and (4) provide services such as firewalls, address translation, device software updates, and host home control applications. Security analysis for the proposed architecture and details was performed. A prototype for SAGA was implemented and performance was evaluated in terms of execution/processing time."
Fog-enabled private blockchain-based identity authentication scheme for smart home,Authentication; Private blockchain; Fog node; Smart home; Privacy protection,"As the Internet of Things (IoT) technology continues to advance, it has found widespread application in various fields, including smart health, smart cities, and smart transportation. Among these applications, smart homes are particularly noteworthy due to their intimate connection to our daily lives. However, the use of smart devices in a home environment exposes users to various security threats, such as impersonation attacks and insider privilege attacks, as users must communicate with multiple devices through a public channel. Additionally, traditional authentication schemes that rely on trusted third-party present a single point of failure, as users and smart devices must be registered and authenticated by a central authority. Blockchain technology offers a decentralized, tamper-proof, and flexible solution for authentication and access control of data. By using blockchain, the single point of failure problem in traditional authentication schemes can be resolved. In the context of smart homes, the real-time nature of the environment necessitates the use of fog nodes to provide localized computing services. Fog nodes are closer to IoT devices than cloud nodes, making fog computing more efficient and faster than cloud computing. This paper proposes an authentication scheme for blockchain-enabled fog nodes in smart homes. The scheme involves registering all fog nodes and intelligent devices on a local private blockchain, and authentication is performed jointly by smart contracts on the blockchain and off-chain operations. The scheme provides comprehensive security and better performance, as demonstrated by security analysis and performance evaluation. Moreover, the proposed scheme offers a certain level of user privacy protection."
Design of a Novel Lightweight Key Establishment Mechanism for Smart Home Systems,Smart Home Networks; Network Security; Internet of Things,"Nowadays there has been a tremendous increase in the use of Smart Home Systems (SHSs) due to its various benefits like increased human comfort, optimized use of electricity, etc. These SHSs are altering human requirements and making human beings more dependent on them. In smart home environments, there are various low capacity devices (microcontrollers and sensors) connected through wireless networks. The smart devices (SDs) in the network must communicate with adequate security. Due to resource constraints like low processing power and low space, there is a lack of standard security mechanism which can provide adequate security. This research work introduces a novel key establishment mechanism for smart home systems. Proposed mechanism provides solution against various security attacks like replay, masquerade, denial of service, eavesdropping etc. We demonstrate the feasibility of proposed mechanism using proof of concept and evaluate results for showing the efficiency and effectiveness of the proposed mechanism."
Designing Carrier's Online Storage Family Cloud for EnhancingTelecom Home Services,online storage; personal cloud; smart pipe; home service,"Many fixed-line carriers are providing online storage service, which stores user data through their broadband access network, as a typical application service that utilizes their network's advantages such as wide bandwidth. However, many of these services are not providing unique use cases that are different from over-the-top (OTT) personal online storage services. To facilitate the creation of new telecom online storage services, we propose the concept of a family cloud, an online storage platform logically connected directly to a household via a fixed broadband access line. The tight coupling of a family cloud and the carrier network facilitates handling of new in-home online storage use cases, including enhancement of existing home telecom services. In this paper, we clarify the family cloud concept and report our extensive investigation of its use case scenarios, our design of a functional architecture that can cover the scenarios, and our application of the architecture to a sample service to verify the concept's validity."
Smart home reasoning systems: a systematic literature review,Smart homes; Ambient assisted living; Ambient intelligence; AAL; Reasoning systems; Decision support system; Systematic literature review,"A smart home is a residence equipped with technologies that facilitate monitoring of residents, promote independence and increase the quality of life. In general, smart homes are used to control the operations of the home environment and, to automatically adapt it to its inhabitants' needs. The smart home reasoning system (SHRS) is in charge of determining the automatic control and adaptation operations of the home system. Recently, there has been extensive research concerning different aspects of the SHRS. However, there is a clear lack of systematic investigation targeted at these systems. To close the gap, this paper explores the SHRS domain. For this reason, we applied the systematic literature review (SLR) method by conducting automatic and manual searches on six electronic databases, and in-depth analysis of 135 literature. From the SRL, this paper identifies about 43% of smart homes are designed to provide general home automation services. It also presents twelve major requirements of an SHRS. In addition, the study finds out that 55.5% of the research contributions in SHRS domain are conceptual and, 51.5% of them are based on symbolic artificial intelligence techniques. Further, it characterizes the usage and application trends of different reasoning techniques in smart home domain and, evaluates the major assumptions, strengths, and limitations of the proposed systems in the literature. Additionally, it discusses the challenges of reasoning in ambient assisted living environments. Finally, it underlines in the importance of utilizing hybrid reasoning approaches and the need to handle overlapping, simultaneous and conflicting multiple inhabitants' activities and goals."
A service-oriented ZigBee gateway for Smart Environments,ZigBee; Smart Environments; OSGi; WSN,"In the recent past Smart Environments, and in particular Smart Homes, have attracted the attention of many researchers and industrial vendors. In such environments, according to the Ambient Intelligence paradigm, heterogeneous devices may operate collectively using context information and intelligence that is usually hidden in the home networks. The networks of ZigBee devices play an important role in this scenario. However they require an easier interaction model with IP-based networks. This work presents an open source platform that seamlessly integrates ZigBee devices with applications running on smart phones and other connected devices available at home. It can be deployed on low-cost devices, such as Plug-PC, and it exploits the OSGi execution environment to discover devices and to notify the smart home of new available services."
A Smart Automated Signature Extraction Scheme for Mobile Phone Number in Human-Centered Smart Home Systems,Automated signature extraction; smart home; deep packet inspection; mobile phone number,"Human-centered smart devices profiling with Wi-Fi networks has received much attention from both research and industry, especially those network operators and security agencies who aim to enhance user experience and security of home network as well as free Wi-Fi services. One type of such profiling is the extraction of mobile phone numbers. In traditional cellular networks, such as 3G and 4G, mobile phone number extraction can be achieved from the analysis of the authentication signaling. However, this method cannot be used in the broadband network environment, e.g., Wi-Fi. Operators and security agencies of Wi-Fi networks often apply manual statistics, telephone inquiries or user input for information. Unfortunately, those traditional methods are inefficient in practice. Moreover, authenticity cannot be guaranteed with the traditional methods. In this paper, we propose a smart method for mobile phone number extraction in smart home networks and systems. In particular, the proposed method is based on deep packet inspection of home broadband traffic. To improve the efficiency and accuracy of detection, we further propose a smart automated signature extraction method of mobile phone numbers from home network traffic. Our proposed method can achieve 86.2% accuracy in the real-life human-centered smart home network test."
Research on factors influencing intention to use Smart home devices in Danang,Smart home; Intention to use; TAM,"With the outstanding development of the information and communication technology industry, the Internet of Things (Internet of Things) has become an outstanding trend all over the world. Internet of Things can completely change the way people live in the future because of its applications. Smart home is a recent application of the Internet of Things with the aim of improving the quality of life for everyone. Besides the attractive potentials, the adoption of Smart home in general as well as smart home devices in particular has not yet been widely accessed to the mass market. This article proposes a research model to investigate the intention of using Smart home devices of consumers living and working in Danang city based on technology acceptance model. The study is based on 287 samples collected from Danang residents since November 2019, based on quantitative analysis by soft SPSS and AMOS."
Low-power smart home node design based on STM32L433,Internet of Things; Smart Home; Low Power; GPRS STM32,"This design proposes a low-power node solution based on the Global System for Mobile communication (GSM) wireless sensor network, which aims to solve the problem that the environment does not meet the general node deployment conditions. This program uses STMicroelectronics' STM32L433 ultra-low-power chip as the main control chip to reduce power consumption. The communication adopts the GSM module for communication. The DHT11 is used as the greenhouse acquisition module and the Mipex-02 is used as the smoke sensor. This design is based on GPRS technology, embedded technology, cloud service technology, and jointly build a set of smart home systems. In this paper, the main control ultra-low-power operation is realized by controlling the chip dormancy, and the data acquisition and upload cycle can be set, and then the communication module can be awakened periodically, and an ultra-low power smart home node design is realized."
Multi-level self-organization in cyber-physical-social systems: smart home cleaning scenario,cyber-physical-social systems; ontology; self-organization; smart home,"Cyber-Physical-Social Systems integrate various resources from physical network, cyberspace, and social world. These systems rely on communication, computation and control infrastructures commonly consisting of several levels for the three worlds with various resources as sensors, actuators, computational resources, services, humans, etc. Efficient interaction of these resources is essential for cyber-physical-social systems operation. The paper presents multi-level self-organization approach for cyber-physical-social systems that distinguishes three main level for the system resource interaction: physical level, planning level, and strategic level. Smart home cleaning scenario is proposed as an example of multi-level self-organization approach. Robot vacuum cleaner creates room map using the light-sensitive sensors and clean room using the map. For the efficient cleaning, it requires the lights switch on in the cleaning room. For this purposes the vacuum cleaner has to interact with the adaptive illumination control system. Manipulating robot move light furniture (e.g. chairs, or coffee table) or decorative elements (pots with flowers, vases, etc.). It interacts with the vacuum cleaner for synchronization of moving light furniture. For the strategic level, a special strategic planning service has been identified that determines general strategy of resources behavior in the scenario based on interaction with personal mobile device and current situation in smart home. Example of general strategies can be for example reduction in energy consumption, excellent cleaning. For the planning level, a special room management services have been proposed that provide general behavior the cyber-physical-social systems resources in physical level. Example of these strategies can be clean room 1 completely, after that clean room 2 or vice versa. For the physical level a vacuum cleaner, manipulating, and light control services have been proposed. The paper present ontology-based information model for smart home devices interaction. It allows the services of physical level linked to the appropriate smart room devices interact in cyber space while physical devices interact in physical space. Every resource in physical level of cyber-physical-social system is described by the ontology. Appropriate ontologies of vacuum cleaner robot, adaptive illumination control system, and manipulating robot have been proposed in the paper. (C) 2015 The Authors. Published by Elsevier B.V."
Value-Inspired Service Design in Elderly Home-Monitoring Systems,Values; Service design; elderly care; smart homes,"The provision of elderly home-monitoring systems to enhance aging-in-place requires the service to meet the needs of both the elderly and their caregivers. The design of such IT services requires interdisciplinary efforts to look beyond the technical requirements. Taking a value-inspired design perspective, the study argues that service design for promoting aging-in-place needs to reconcile the values of both the elderly and caregivers. Drawn from the framework of basic human values and the unique experience of the SHINESeniors project, the study extracts the core values for elderly and caregivers using a multi-method case analysis. We suggest that both system and working protocols should be redesigned concurrently to maximize the benefits of the technology. The resources of users and capabilities of technologies should be leveraged in tandem for service design."
A Platform for Integrating Alexa Voice Service Into ECHONET-based Smart Homes,Alexa; ECHONET; ECHONET Lite,Voice is the most natural way of user interaction and there are many studies to utilize voice services for smart home environments. This paper introduces a solution which enables Alexa voice service for ECHONET-based smart homes.
Design of Smart Home Monitoring and Control System Based on Zigbee and WIFI,Smart home; Zigbee; WIFI; Wireless transmission; Remote control,"Smart Home system is the use of home life associated with hardware and related application technology, the introduction of home appliance automation, remote control. intelligent processing technology in a traditional home environment, to design a provide users with comprehensive information exchange capabilities, in order to enhanced home life safety, comfort and convenience of home systems. At present, there are problems such as complicated wiring, single service, and high price in this field. In response to these problems, this paper designs a smart home system based on Zigbee and WIFI. The system consists of a terminal node, a gateway node and a remote control terminal. The terminal node and the gateway node form a home internal network through Zigbee technology, and the remote control terminal accesses and controls the home internal network through WIFI."
Developing smart service concepts: morphological analysis using a Novelty-Quality map,Smart service systems; service innovation; idea generation; data-driven approach; morphological analysis,"Among many techniques for generating new service ideas, morphological analysis has been used due to the advantage of decomposing the system into dimensions and shapes and bringing creative results in the process of recombining them. However, with the rise of smart service systems, the determination of dimensions and shapes has become a critical problem, particularly as both their structure and components become complex. This research focuses on a data-driven approach by incorporating mobile app service documents to increase objectivity and diversity in the construction of a morphology matrix. To this end, firstly, the novelty-quality map is developed to identify innovative data based on quantitative indicators. Secondly, morphological analysis is employed along with experts' judgment in order to generate new smart service concepts. Finally, the feasibility and effectiveness of the proposed approach are shown based on a comparative analysis with conventional approaches and real services through a case study of smart home."
Bringing Smart Home Technology to Peer-to-Peer Accommodation: Exploring the Drivers of Intention to Stay in Smart Accommodation,Sharing economy; Smart homes; Smart accommodation; SMEs; Value; Hospitality; The theory of consumption values,"COVID-19 has caused disruptions in the sharing economy for both platforms and owners, who are typically micro-businesses. Lower demand and ample supply means that users have a great deal of choice. Finding ways for properties to differentiate themselves has been a pressing need. Against this background, this paper pursued two objectives: firstly to explore the perceived functional and emotional value of smart accommodation and the factors contributing to this by adopting the Theory of Consumption Values, and secondly to examine the role of perceived value in driving intention to stay in smart accommodation in the future. 430 responses were collected to analyse the relationships among antecedents, value and intention. The results showed that the functional value of smart accommodation is associated with the perception that such accommodation represents good value for the price, smart devices are useful, they can enhance control of stay experiences, and there are resources and opportunities facilitating the use of technology. Emotional value is determined by the perception that staying in smart accommodation represents sustainable behaviour, the integration of smart home technologies offers control over the stay experience, improves the entertainment experience, aesthetics and playfulness of using technology. Emotional values are inhibited by the perception of surveillance in smart accommodation. Also, the study offers evidence of the correlation of intention with functional and emotional value. The evidence contributes to the literature by explaining the potential implications of innovative technologies for business recovery in the post-pandemic reality, exploring the applications of smart technologies in delivering tourism services, and identifying the factors in the adoption of smart homes in the hospitality sector. The findings provide practical implications for facilitating the applications of innovative technology and its adoption in home and non-home environments."
QoE Assessment for Broadcasting Multi Sensorial Media in Smart Home Scenario,quality of experience; multi sensorial media; next generation TV; smart home,"One of the goals of future TV broadcast services is to provide realistic media contents to the users. The user's sense of reality can be reinforced by adding to conventional media multiple sensorial effects, through five-sense stimulus (i.e., taste, sight, touch, smell, and hearing). In a smart home environment, to deliver the additional effects, customary devices (e.g., air conditioning, lights, etc.), provided of opportune smart features, have to be preferred to ad-hoc devices, often deployed in other applications as for example in gaming systems. In this context, a key issue is the interconnection among the TV and the customary devices that deliver the additional sensorial effects to the user. In such a framework, home customary devices play a role to implement additional effects to the conventional broadcast TV service. In this study, a prototype is implemented for broadcasting multi sensorial media in a real smart home scenario. Real customary devices are deployed. A subjective test measurement campaign based on mean opinion score was performed to assess the Quality of Experience of the users and the feasibility of the proposed multi sensorial media TV service."
Towards a Unified Trust Framework for Detecting IoT Device Attacks in Smart Homes,Internet-of-Things; Trust; Security; Smart Home; Artificial Intelligence based Security; Machine Learning,"Trust in Smart Home (SH) Internet of Things (IoT) technologies is a primary concern for consumers, which is preventing the widespread adoption of smart home services. Additionally, the variety of IoT devices and cyber attacks make it hard to build a generic attack detection framework for smart home IoT devices. In this paper, we present a roadmap towards building a unified approach towards establishing trust scores as an indicator of the security status of an IoT device in a smart home that works across multiple attacks and device types/protocols. Specifically, we first introduce artificial reasoning inspired evidence collection approach by introducing a small set of factors that are affected significantly if a smart home IoT device is under attack. Thereafter, we propose an explainable trust scoring model that maps the device level evidence into trust scores in a way that produces lower trust scores when devices are under attack. Specifically, the trust model involves an Augmented Bayesian Belief based Model embedded with novel non-linear weighing functions; explicitly designed to account for the severity of the attack. probabilistic discounting of parts of the evidence caused by benign changes, thus explaining our success. For evaluation of the framework, we use two real datasets that contain a variety of actual cyber-attacks and benign traffic from seven different smart home IoT devices. Our evaluation seeks to investigate the generality of our framework across multiple datasets, with various classes of IoT devices and cyber attacks."
Detecting abnormal events on binary sensors in smart home environments,Ontologies; Smart home; Fault detection; Semantics; Domain knowledge,"With a rising ageing population, smart home technologies have been demonstrated as a promising paradigm to enable technology-driven healthcare delivery. Smart home technologies, composed of advanced sensing, computing, and communication technologies, offer an unprecedented opportunity to keep track of behaviours and activities of the elderly and provide context-aware services that enable the elderly to remain active and independent in their own homes. However, experiments in developed prototypes demonstrate that abnormal sensor events hamper the correct identification of critical (and potentially life-threatening) situations, and that existing learning, estimation, and time based approaches to situation recognition are inaccurate and inflexible when applied to multiple people sharing a living space. We propose a novel technique, called CLEAN, that integrates the semantics of sensor readings with statistical outlier detection. We evaluate the technique against four real-world datasets across different environments including the datasets with multiple residents. The results have shown that CLEAN can successfully detect sensor anomaly and improve activity recognition accuracies. (C) 2016 Elsevier B.V. All rights reserved."
"Deep Learning (CNN, RNN) Applications for Smart Homes: A Systematic Review",convolutional neural network (CNN); deep learning; deep neural network (DNN); long short-term memory (LSTM); recurrent neural network (RNN); smart homes; systematic review,"In recent years, research on convolutional neural networks (CNN) and recurrent neural networks (RNN) in deep learning has been actively conducted. In order to provide more personalized and advanced functions in smart home services, studies on deep learning applications are becoming more frequent, and deep learning is acknowledged as an efficient method for recognizing the voices and activities of users. In this context, this study aims to systematically review the smart home studies that apply CNN and RNN/LSTM as their main solution. Of the 632 studies retrieved from the Web of Science, Scopus, IEEE Explore, and PubMed databases, 43 studies were selected and analyzed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodology. In this paper, we examine which smart home applications CNN and RNN/LSTM are applied to and compare how they were implemented and evaluated. The selected studies dealt with a total of 15 application areas for smart homes, where activity recognition was covered the most. This study provides essential data for all researchers who want to apply deep learning for smart homes, identifies the main trends, and can help to guide design and evaluation decisions for particular smart home services."
Personalizing Smart Services Based on Data-Driven Personality of User,User profiling; Service personalizing; Data driven services; Automatic personality recognition; Smart services,"The article presents a research method of creating classification of users needs based on their personality (Big 5) determined on the basis of available digital data. The research is work in progress and is based on a specific use case which is a smart services (home environment) with users interface on a mobile phone. This paper includes the results of preliminary research on the needs of users, formulates research problems and discusses assumptions and the research methods. What distinguishes the proposed solution from others, is that the profile will be available for service just after installing, without the necessity of collecting data about user activity. The idea of data-based users classification, can be used at the early stage, which seems to be important in the adaptation process to any new smart service."
Consortium Blockchain Based Lightweight Message Authentication and Auditing in Smart Home,Smart home; message authentication; CLAS; consortium blockchain,"Currently, smart homes rely heavily on wireless sensor networks (WSNs), which typically consist of wireless sensor nodes with limited resources and are scattered throughout the network. This topology makes them vulnerable to packet sniffing, spoofing, and other malicious attacks, which can result in the leakage of private data collected by devices. Additionally, managing the device key for the entire system becomes difficult as more devices are added. Moreover, the centralization of current cloud service management in smart home systems poses a serious single-point-of-failure problem, and the private data of cloud outsourcing cannot receive strict privacy supervision, ultimately relying entirely on the trust of enterprises. To address these issues, this paper proposes using a consortium blockchain and InterPlanetary File System (IPFS) instead of the existing centralized structure. An improved pairing-free certificateless aggregated signature(CLAS) scheme ensures the security of message authentication and solves the device key management problem. Our scheme reduces the computational and communication overheads at the device side by 50% and 25%, respectively, compared with existing schemes in WSNs. The overall computational overhead is also reduced by 28.6%, making it more suitable for smart home scenarios. Additionally, we use an auditing method based on Merkle root hash verification to ensure the reliability of data storage in IPFS."
Lightweight and Secure Session-Key Establishment Scheme in Smart Home Environments,Authentication; access control; security; smart homes; wireless sensor networks,"The proliferation of current wireless communications and information technologies have been altering humans lifestyle and social interactions-the next frontier is the smart home environments or spaces. A smart home consists of low capacity devices (e.g., sensors) and wireless networks, and therefore, all working together as a secure system that needs an adequate level of security. This paper introduces lightweight and secure session key establishment scheme for smart home environments. To establish trust among the network, every sensor and control unit uses a short authentication token and establishes a secure session key. The proposed scheme provides important security attributes including prevention of various popular attacks, such as denial-of-service and eavesdropping attacks. The preliminary evaluation and feasibility tests are demonstrated by the proof-of-concept implementation. In addition, the proposed scheme attains both computation efficiency and communication efficiency as compared with other schemes from the literature."
Modeling of Intelligent Sensor Duty Cycling for Smart Home Automation,Sensors; Intelligent sensors; Smart homes; Wireless sensor networks; Energy consumption; Batteries; Hidden Markov models; Duty cycling; home automation; recurrent neural networks (RNNs); smart homes; wireless sensor networks (WSNs),"The advancement of wireless sensor networks (WSNs) improves various smart home automation services and home users' living standards. However, efficiently collecting data and automating smart home services require the extensive deployment of the sensors. Thus, one of the crucial and challenging tasks is to minimize the sensors' energy consumption for monitoring and automating various activities in a smart home. In this article, we present a solution to control the excessive energy consumption of sensors used to detect various activities of daily living (ADL) of a smart home resident. The sensors within a smart home network are divided into various groups employing the recurrent neural network (RNN) and dynamic time warping (DTW) techniques to predict the activities with high accuracy and less energy consumption. The smart home users' future activities are forecast with bidirectional long short-term memory (BLSTM) RNN model to select those sensors that are likely to predict the upcoming activities. Similarly, to predict the home users' unusual activities, a guard sensor is elected among sensors with high similarities with each other using DTW. The sensor's role is evenly switched between different modes to maintain a fair tradeoff between energy and accuracy. An extensive set of simulations is performed to validate the proposed scheme's work integrating datasets from authentic sources. Finally, the proposed system significantly reduces the sensors' energy consumption and prolongs the battery lifetime to approximately 137 days."
Modelling Smart Home Environments for energy-efficiency and quality of life.,Smart Home Environment; Sustainability; Energy Efficiency; Home Energy Management System,"Purpose - Recent years have been characterized by a growing interest toward sustainability issues. In fact, themes such as a more efficient use of the energy resources have taken a central role in the debate on energy policies of developed countries. In particular, it has been demonstrated that energy efficiency in residential buildings is one of the keys to reducing overall energy consumption and greenhouse emissions. In this work, we propose an innovative system for monitoring and managing energy consumption in Smart Home Environments (SHEs), according to the needs of users and to the particular state conditions of the considered environment. Design/methodology/approach - The paper focuses on a methodological approach to design a SHE based on the following steps: Identify and apply technological solutions to provide additional intelligence and connectivity services to existing heterogeneous home devices. Define an architecture of SHE, supported by a centralized management system featuring a smart Central Control Unit (CCU) and different peripheral devices of sensing and actuating. Define a data management model in order to handle machine-to-machine and machine-to-human interactions. Define a set of decision algorithms and interoperability rules to perform energy-control services, basing on quantitative forecasting methodologies for analysis of historical data. Originality/value - Different approaches to the design of SHEs are emerging in literature, emphasizing the importance of such a type of applications as a mean to guarantee energy and cost saving. However, most of these approaches are essentially focused on the technological issues, relying primarily on the architectural characteristics of the Home Energy Management Systems (HEMS). In this work, we intend to highlight how a knowledge-based management model can support the design of innovative HEMSs, providing the energy performance improvements of the considered environment and the adaptability to the user's habits and needs. Practical implications - In line with the goals of Europe 2020 strategy, energy resource saving represent a key issue for sustainable development. Among the various technological solutions for reducing energy consumption in home environments, the so called Building Automation and Control Systems (BACS) represent high performance and low impact solutions for energy efficiency. In this context, the proposed system, whose development is ongoing, offers in prospect the opportunity to improve the energy performance and electricity cost saving of residential buildings, featuring at the same time a low architectural impact due to the use of wireless and/or powerline technologies."
